"study_id","author","location_id","location_id2","location_name","location_name2","vac_before_booster","vaccine_developer","variant","symptom_severity","severity","sample_size","age_start","age_end","efficacy_mean","efficacy_lower","efficacy_upper","booster","vemt","mean_time_since.vaccination","start_interval","end_interval","sev_severity","mid_point1","mid_point","study_id2","se","mean_logit","sd_logit","in_var"
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.76,0.1,0.94,0,0,NA,0,1,"infection",0.5,0.5,"1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80",0.214285714285714,1.15267950993839,1.17481203007519,0.216024689946929
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.77,0.38,0.92,0,0,NA,2,3,"infection",2.5,2.5,"1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80",0.137755102040816,1.20831120592453,0.777837956187557,0.269430125621825
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.68,0.6,0.75,0,0,NA,4,7,"infection",5.5,5.5,"1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80",0.038265306122449,0.75377180237638,0.175851590636255,0.511207720338155
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.72,0.67,0.76,0,0,NA,8,11,"infection",9.5,9.5,"1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80",0.0229591836734694,0.944461608840851,0.113884839650146,0.659966329107444
1001,"Skowronski D","101","101","Canada","Canada(British Columbia/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.65,0.57,0.72,0,0,NA,12,15,"infection",13.5,13.5,"1001&Canada(British Columbia/Delta)&B.1.617.2&infection&18&80",0.038265306122449,0.619039208406224,0.168199147790985,0.511207720338155
1001,"Skowronski D","101","101","Canada","Canada(Quebec/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.74,-0.07,0.94,0,0,NA,2,3,"infection",2.5,2.5,"1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80",0.25765306122449,1.04596855518269,1.33915312486741,0.197007312524482
1001,"Skowronski D","101","101","Canada","Canada(Quebec/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.78,0.58,0.89,0,0,NA,4,7,"infection",5.5,5.5,"1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80",0.0790816326530612,1.26566637333128,0.46084867513439,0.355600355600533
1001,"Skowronski D","101","101","Canada","Canada(Quebec/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.76,0.67,0.83,0,0,NA,8,11,"infection",9.5,9.5,"1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80",0.0408163265306122,1.15267950993839,0.223773720014321,0.494974746830583
1001,"Skowronski D","101","101","Canada","Canada(Quebec/Delta)","","AstraZeneca","B.1.617.2","infection","infection",NA,18,80,0.72,0.66,0.77,0,0,NA,12,15,"infection",13.5,13.5,"1001&Canada(Quebec/Delta)&B.1.617.2&infection&18&80",0.0280612244897959,0.944461608840851,0.139192581794623,0.596962005795709
520,"Hall V","95","95","United Kingdom","UK delta","","AstraZeneca","B.1.617.2","infection","infection",NA,25,65,0.49,0.16,0.69,0,0,NA,2,10,"infection",6,6,"520&UK delta&B.1.617.2&infection&25&65",0.135204081632653,-0.0400053346136992,0.541032739626463,0.271960041460034
520,"Hall V","95","95","United Kingdom","UK delta","","AstraZeneca","B.1.617.2","infection","infection",NA,25,65,0.47,0.26,0.63,0,0,NA,11,19,"infection",15,15,"520&UK delta&B.1.617.2&infection&25&65",0.0943877551020408,-0.120144311842063,0.378915114821521,0.325493388482694
520,"Hall V","95","95","United Kingdom","UK delta","","AstraZeneca","B.1.617.2","infection","infection",NA,25,65,0.51,0.18,0.71,0,0,NA,20,27,"infection",23.5,23.5,"520&UK delta&B.1.617.2&infection&25&65",0.135204081632653,0.0400053346136992,0.541032739626463,0.271960041460034
531,"Berec L","47","47","Czechia","Czech delta","","AstraZeneca","B.1.617.2","infection","infection",NA,12,65,0.72,0.7,0.735,0,0,NA,12,20,"infection",16,16,"531&Czech delta&B.1.617.2&infection&12&65",0.00892857142857144,0.944461608840851,0.0442885487528345,1.05830052442584
531,"Berec L","47","47","Czechia","Czech delta","","AstraZeneca","B.1.617.2","infection","infection",NA,12,65,0.56,0.545,0.57,0,0,NA,21,28,"infection",24.5,24.5,"531&Czech delta&B.1.617.2&infection&12&65",0.00637755102040814,0.241162056816888,0.0258829181023058,1.25219806739988
1005,"Pouwels K","95","95","United Kingdom","UK 5 delta ","","AstraZeneca","B.1.617.2","infection","infection",NA,18,64,0.68,0.61,0.73,0,0,NA,0,2,"infection",1,1,"1005&UK 5 delta &B.1.617.2&infection&18&64",0.0306122448979592,0.75377180237638,0.140681272509004,0.571547606649408
1005,"Pouwels K","95","95","United Kingdom","UK 5 delta ","","AstraZeneca","B.1.617.2","infection","infection",NA,18,64,0.66,0.61,0.71,0,0,NA,3,4,"infection",3.5,3.5,"1005&UK 5 delta &B.1.617.2&infection&18&64",0.0255102040816326,0.663294217410264,0.113681836370912,0.626099033699941
1005,"Pouwels K","95","95","United Kingdom","UK 5 delta ","","AstraZeneca","B.1.617.2","infection","infection",NA,18,64,0.64,0.58,0.69,0,0,NA,5,8,"infection",6.5,6.5,"1005&UK 5 delta &B.1.617.2&infection&18&64",0.0280612244897959,0.575364144903562,0.121793509070295,0.596962005795709
1005,"Pouwels K","95","95","United Kingdom","UK 5 delta ","","AstraZeneca","B.1.617.2","infection","infection",NA,18,64,0.61,0.53,0.68,0,0,NA,9,12,"infection",10.5,10.5,"1005&UK 5 delta &B.1.617.2&infection&18&64",0.038265306122449,0.447312218043665,0.160846179581543,0.511207720338155
558,"Voko Z","48","48","Hungary","Hungary delta 18-64","","AstraZeneca","B.1.617.2","infection","infection",NA,18,64,0.392,0.364,0.419,0,0,NA,2,17,"infection",9.5,9.5,"558&Hungary delta 18-64&B.1.617.2&infection&18&64",0.014030612244898,-0.438913042175704,0.058869043052237,0.844231764817738
558,"Voko Z","48","48","Hungary","Hungary delta 18-64","","AstraZeneca","B.1.617.2","infection","infection",NA,18,64,0.256,0.239,0.273,0,0,NA,18,25,"infection",21.5,21.5,"558&Hungary delta 18-64&B.1.617.2&infection&18&64",0.00867346938775511,-1.06686359035353,0.0455386287579548,1.07375098438632
558,"Voko Z","48","48","Hungary","Hungary delta 65-100","","AstraZeneca","B.1.617.2","infection","infection",NA,65,100,0.631,0.556,0.694,0,0,NA,2,17,"infection",9.5,9.5,"558&Hungary delta 65-100&B.1.617.2&infection&65&100",0.035204081632653,0.536509218500686,0.15119495287582,0.532970891338817
558,"Voko Z","48","48","Hungary","Hungary delta 65-100","","AstraZeneca","B.1.617.2","infection","infection",NA,65,100,0.497,0.47,0.522,0,0,NA,18,25,"infection",21.5,21.5,"558&Hungary delta 65-100&B.1.617.2&infection&65&100",0.013265306122449,-0.0120001440031105,0.0530631347626474,0.868243142124459
558,"Voko Z","48","48","Hungary","Hungary delta 65-100","","AstraZeneca","B.1.617.2","infection","infection",NA,65,100,0.389,0.33,0.443,0,0,NA,26,34,"infection",30,30,"558&Hungary delta 65-100&B.1.617.2&infection&65&100",0.0288265306122449,-0.451517615553149,0.121283456309749,0.58898442667634
1014,"Braeye T","78","78","Belgium","Belgium females delta","","AstraZeneca","B.1.617.2","infection","infection",NA,45,64,0.48,0.45,0.51,0,0,NA,0,7,"infection",3.5,3.5,"1014&Belgium females delta&B.1.617.2&infection&45&64",0.0153061224489796,-0.0800427076735365,0.0613226059654631,0.808290376865476
1014,"Braeye T","78","78","Belgium","Belgium females delta","","AstraZeneca","B.1.617.2","infection","infection",NA,45,64,0.34,0.32,0.36,0,0,NA,21,28,"infection",24.5,24.5,"1014&Belgium females delta&B.1.617.2&infection&45&64",0.0102040816326531,-0.663294217410264,0.0454727345483648,0.989949493661167
569,"Sritipsukho P","18","18","Thailand","Thailand delta","","AstraZeneca","B.1.617.2","infection","infection",NA,18,60,0.83,0.7,0.9,0,1,8,NA,NA,"infection",NA,8,"569&Thailand delta&B.1.617.2&infection&18&60",0.0510204081632653,1.58562726374038,0.36159041930025,0.442718872423573
