nid,exclude,study_id,author,text_description,source,location_id,location_id2,location_name,piv,prim_inf_var,variant,variant_b1351,symptom_severity,symptom_severity_description,severity,IHME_symptom_classification,severe_vs_all,severe,moderate,mild,asymptomatic,sex_id,age_start,age_end,age_mean,over_65,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,start_end_int,Period reported in the study,past_infection_evaluation,quality_rating,events_vaccine,events_control,ss_vaccine,ss_control,hiv_flag,obesity_flag,comorbidity_flag,ethnicity_flag,race_flag,dose_flag,high_risk_flag,infectious_flag,notes,extractor_id
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.99,0.98,0.99,1,,0,8,0_8,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.97,0.965,0.975,1,,9,16,9_16,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.91,0.905,0.915,1,,17,24,17_24,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.92,0.915,0.925,1,,25,32,25_32,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.9,0.895,0.905,1,,33,40,33_40,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.84,0.835,0.845,1,,41,48,41_48,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.79,0.78,0.8,1,,49,56,49_56,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.71,0.685,0.72,1,,57,64,57_64,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,1,Berec L,medrix- Czech VE/ previous infection immunity whole country retrospective study,https://www.medrxiv.org/content/10.1101/2021.12.10.21267590v1.full.pdf,47,47,Czechia,1,mixed variant,all variant,,infection,SARS-CoV-2 infection defined as a PCR confirmed positive test of a person from any sample regardless of the presence of symptoms,infection,infection,,1,1,1,1,3,12,65,,,,0.71,0.65,0.78,1,,65,72,65_72,Weeks after infection,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 65. ,han20
,0,2,Goldberg Y,medrix- Israel previous inffuction immunity vs VE immunity ,https://academic.oup.com/aje/advance-article/doi/10.1093/aje/kwac060/6556183?login=false,85,85,Israel,1,Ancestral,B.1.1.7,,infection,positive COVID-19 PCR 3 months after 1st infection,infection,infection,,1,1,1,1,3,16,80,,,,0.948,0.944,0.951,0,,,,,,Confirmed infection registered in National Health System,Fair,0,0,0,0,0,0,0,0,0,0,0,0,Age end >= 80. ,han20
