ref,alt,l_linear,r_linear,monotinicity,convexity,knots,last_prior,good_model,anemia_category,model_type
anemia_anemic_adj,hemoglobin_alt_adj,FALSE,FALSE,decreasing,,".4,.6,.8",0.1,TRUE,1,1
anemia_anemic_brinda,brinda_adj_hemog,FALSE,FALSE,decreasing,,".4,.6,.8",0.1,TRUE,1,1
anemia_anemic_raw,hemoglobin_raw,FALSE,FALSE,decreasing,,".4,.6,.8",0.1,TRUE,1,1
anemia_anemic_who,who_adj_hemog,FALSE,FALSE,decreasing,,".4,.6,.8",0.1,TRUE,1,1
anemia_mod_sev_adj,hemoglobin_alt_adj,FALSE,FALSE,decreasing,,".2,.4",0.1,TRUE,1,1
anemia_mod_sev_brinda,brinda_adj_hemog,FALSE,FALSE,decreasing,,".4,.6,.8",0.1,TRUE,1,1
anemia_mod_sev_raw,hemoglobin_raw,FALSE,FALSE,decreasing,,".4,.6,.8",0.1,TRUE,1,1
anemia_mod_sev_who,who_adj_hemog,FALSE,FALSE,decreasing,,".4,.6,.8",0.1,TRUE,1,1
brinda_adj_hemog,anemia_mod_sev_brinda,FALSE,FALSE,decreasing,,"110,130,145",0.1,TRUE,1,1
brinda_adj_hemog,anemia_severe_brinda,FALSE,FALSE,decreasing,,"110,130",0.1,TRUE,1,1
brinda_adj_hemog,anemia_anemic_brinda,FALSE,FALSE,decreasing,,"110,130,145",0.1,TRUE,1,1
hemoglobin_alt_adj,anemia_mod_sev_adj,FALSE,FALSE,decreasing,,"125,140",0.1,TRUE,1,1
hemoglobin_alt_adj,anemia_severe_adj,FALSE,FALSE,decreasing,,"125,140",0.1,FALSE,1,1
hemoglobin_alt_adj,anemia_anemic_adj,FALSE,FALSE,decreasing,,"125,140",0.1,TRUE,1,1
hemoglobin_raw,anemia_mod_sev_raw,FALSE,FALSE,decreasing,,"110,130",0.1,TRUE,1,1
hemoglobin_raw,anemia_severe_raw,FALSE,FALSE,decreasing,,"125,140",0.1,FALSE,1,1
hemoglobin_raw,anemia_anemic_raw,FALSE,FALSE,decreasing,,"125,140",0.1,TRUE,1,1
who_adj_hemog,anemia_mod_sev_who,FALSE,FALSE,decreasing,,"125,140",0.1,TRUE,1,1
who_adj_hemog,anemia_severe_who,FALSE,FALSE,decreasing,,"125,140",0.1,FALSE,1,1
who_adj_hemog,anemia_anemic_who,FALSE,FALSE,decreasing,,"125,140",0.1,TRUE,1,1
anemia_anemic_adj,hemoglobin_alt_adj,FALSE,FALSE,decreasing,,".33,.66",0.1,TRUE,2,1
anemia_anemic_brinda,brinda_adj_hemog,FALSE,FALSE,decreasing,,".33,.66",0.1,FALSE,2,1
anemia_anemic_raw,hemoglobin_raw,FALSE,FALSE,decreasing,,".33,.66",0.1,FALSE,2,1
anemia_anemic_who,who_adj_hemog,FALSE,FALSE,decreasing,,".33,.66",0.1,FALSE,2,1
anemia_mod_sev_adj,hemoglobin_alt_adj,FALSE,FALSE,decreasing,,".33,.66",0.1,TRUE,2,1
anemia_mod_sev_brinda,brinda_adj_hemog,FALSE,FALSE,decreasing,,".33,.66",0.1,TRUE,2,1
