exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,group_analysis,study_id2,mid_point1,mid_point,e_mean,se,mean_logit,sd_logit,insesqua
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.99,0.98,0.99,1,,0,8,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,4,4,0.988888888888889,0.00314940791131268,4.48863636973215,0.286631506535202,1.7819090885901
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.97,0.965,0.975,1,,9,16,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,12.5,12.5,0.966666666666667,0.00314940791131268,3.36729582998648,0.0977402455234978,1.7819090885901
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.91,0.905,0.915,1,,17,24,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,20.5,20.5,0.9,0.00314940791131268,2.19722457733622,0.0349934212368075,1.7819090885901
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.92,0.915,0.925,1,,25,32,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,28.5,28.5,0.911111111111111,0.00314940791131268,2.32727770558442,0.038887506222001,1.7819090885901
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.9,0.895,0.905,1,,33,40,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,36.5,36.5,0.888888888888889,0.00314940791131268,2.07944154167984,0.0318877551020409,1.7819090885901
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.84,0.835,0.845,1,,41,48,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,44.5,44.5,0.822222222222222,0.00314940791131268,1.53147637096439,0.0215457804743519,1.7819090885901
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.79,0.78,0.8,1,,49,56,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,52.5,52.5,0.766666666666667,0.00629881582262535,1.18958406687384,0.0352107716792722,1.26
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.71,0.685,0.72,1,,57,64,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,60.5,60.5,0.677777777777778,0.0110229276895943,0.743578034186839,0.0504724218686909,0.952470471983254
0,1,Berec L,47,Czechia,1,mixed variant,all variant,infection,infection,,0.71,0.65,0.78,1,,65,72,infection,Ancestral,Ancestral,Non_Omicron,1&Ancestral&Ancestral,68.5,68.5,0.677777777777778,0.0409423028470648,0.743578034186839,0.187468995512281,0.494212660548224
0,3,Hansen C,78,Denmark,1,Ancestral,Ancestral,infection,infection,,0.793,0.744,0.833,1,,12,24,infection,Ancestral,Ancestral,Non_Omicron,3&Ancestral&Ancestral,18,18,0.77,0.0280297304106828,1.20831120592453,0.158270640376526,0.597297283556372
0,3,Hansen C,78,Denmark,1,Ancestral,Ancestral,infection,infection,,0.777,0.709,0.829,1,,25,32,infection,Ancestral,Ancestral,Non_Omicron,3&Ancestral&Ancestral,28.5,28.5,0.752222222222222,0.0377928949357521,1.11049950145216,0.202769041060596,0.514392845984467
