df_cols,keep
nid,1
survey_name,1
ihme_loc_id,1
year_start,1
year_end,1
survey_module,1
file_path,1
sex_id,1
age_start,1
age_end,1
cv_pregnant,1
sample_size,1
nclust,1
nstrata,1
var,1
mean,0
standard_error,1
design_effect,1
underlying_nid,1
field_citation_value,1
source_type,1
location_name,1
location_id,1
smaller_site_unit,1
site_memo,1
sex,1
sex_issue,1
year_issue,1
age_issue,1
age_demographer,1
measure,1
lower,1
upper,1
cases,1
unit_type,1
unit_value_as_published,1
measure_issue,1
measure_adjustment,1
uncertainty_type_value,1
representative_name,1
recall_type,1
case_name,1
case_definition,1
case_diagnostics,1
group,1
specificity,1
group_review,1
note_modeler,1
note_sr,1
extractor,1
seq,1
origin_seq,1
origin_id,1
is_outlier,1
Unnamed: 0,0
#_source,0
me_name,0
sample_size_description,1
measure_method,1
blood_sample,1
lower_cutoff,1
upper_cutoff,1
urbancity_type,1
note_adjusted,1
hgb_unit,1
cv_hgb_unadj,0
cv_smoking,0
cv_altitude_adj,0
cv_lactating,1
cv_nonpregnant,1
cv_facility_only,0
cv_subnational,1
cv_group_review_dataprocessing,0
cv_trimester,1
cv_trimester_1,0
cv_trimester_2,0
cv_trimester_3,0
who_elevation_adj,0
weighted_who_adj,0
hb_to_use,0
trimester,1
me_type,1
cluster_altitude,1
adj_type,1
underlying_field_citation_value,1
page_num,1
table_num,1
urbanicity_type,1
recall_type_value,1
sampling_type,1
response_rate,1
bundle_id,0
bundle_name,0
year_id,1
age_group_id,1
nid.1,0
level,0
value_prev_hgb_lt_130_gl,0
mean.1,0
Unnamed:.0,0
sex.1,0
uncertainty_type_value.1,0
standard_deviation,1
cv_biased,1
sex_issue.1,0
unit_type_value,1
age_end.1,0
year_end.1,0
orig_age_start,1
year_issue.1,0
cv.mean,0
measure.1,0
value_prev_hgb_lt_120_gl,0
age_start.1,0
age_demographer.1,0
location_name.1,0
input_type,1
recall_type.1,0
value_prev_hgb_lt_110_gl,0
unit_value_as_published.1,0
vmnis,1
effective_sample_size,1
sample_size.1,0
meanstd1,1
value_mean_hgb,0
file_path.1,0
standard_error.1,0
design_effect.1,0
unit_type.1,0
modelable_entity_name,0
location_id.1,0
binary,0
extractor.1,0
modelable_entity_id,0
standard_deviation_se,1
uncertainty_type.1,0
uncertainty_type,1
value_mean_hgb_plusminus_sd,0
data_sheet_file_path,0
year_start.1,0
note_sr.1,0
step2_location_year,0
cv_var_impute,1
effective_sample_size.1,0
meanstd2,0
ihme_loc_id.1,0
year_start_id,0
orig.location,0
cv_smoking_adj,0
group_xw,1
cv_pre_dismod_crosswalk,1
orig_age_end,1
cv_not_represent,1
bundle_id_,0
year_end_id,0
age_issue.1,0
most_detailed,1
data_type,0
extraction_type,0
age_notes,1
u5_rows,0
norway_rows,0
cv_hgb_raw,0
cv_hgb_altitude_adj,0
cv_hgb_smoking_adj,0
cv_hgb_altitude_smoking,0
cv_capillary_draw,1
cv.method,0
hemocue_version,1
cv_smoking_status,0
cv_smoking_number,0
adj_issue_flag,0
adj_issue_notes,0
hb_unit,1
cv_inflamation_adj,0
newdata,0
new_under_5,0
input_type_id,0
val,1
variance,1
mean_outlier,1
orig_location_id,1
elevation_year,1
from_2021,1
