super_region_id,region_id,national_id,location_id,lam_intercept,lam_trend,gprior_sd_intercept,gprior_sd_trend,age_scale,gamma_age,gamma_year,nugget,lam
4,5,6,6,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,5,7,7,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,5,8,8,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,10,10,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,11,11,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,12,12,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,13,13,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,14,14,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,15,15,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,16,16,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,17,17,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,18,18,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,19,19,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,9,20,20,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,22,22,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,23,23,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,24,24,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,25,25,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,26,26,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,27,27,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,28,28,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,29,29,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
4,21,30,30,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,33,33,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,34,34,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,35,35,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,36,36,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,37,37,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,38,38,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,39,39,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,40,40,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,32,41,41,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,43,43,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,44,44,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,45,45,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,46,46,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,47,47,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,48,48,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,49,49,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,50,50,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,51,51,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,52,52,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,53,53,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,54,54,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,42,55,55,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,56,57,57,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,56,58,58,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,56,59,59,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,56,60,60,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,56,61,61,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,56,62,62,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
31,56,63,63,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,20.0
64,65,66,66,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,65,67,67,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,65,68,68,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,65,69,69,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,70,71,71,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,70,72,72,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,74,74,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,75,75,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,76,76,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,77,77,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,78,78,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,79,79,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,80,80,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,81,81,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
64,73,82,82,50.0,,1.0,1.0,0.1,8.0,12.0,1e-06,5.0
