exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,group_analysis,study_id2,mid_point1,mid_point,e_mean,se,mean_logit,sd_logit,insesqua
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,severe,hosp,,0.87,0.73,0.94,1,,2,24,severe,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,13,13,0.855555555555556,0.0661375661375661,1.77885606439215,0.535179106607679,0.388844441904472
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,severe,hosp,,0.92,0.86,0.96,1,,25,52,severe,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,38.5,38.5,0.911111111111111,0.0314940791131267,2.32727770558442,0.388875062220009,0.563489130329947
0,7,Smid M,47,Czechia,1,mixed variant,B.1.617.2,severe,hosp,,0.99,0.98,0.99,1,,2,24,severe,Ancestral,Delta,Non_Omicron,7&Ancestral&Delta,13,13,0.988888888888889,0.00314940791131268,4.48863636973215,0.286631506535202,1.7819090885901
0,7,Smid M,47,Czechia,1,mixed variant,B.1.617.2,severe,hosp,,0.95,0.93,0.96,1,,25,52,severe,Ancestral,Delta,Non_Omicron,7&Ancestral&Delta,38.5,38.5,0.944444444444444,0.00944822373393799,2.83321334405621,0.180072028811523,1.02878569196894
0,26,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,severe,hosp,,0.716,0.157,0.904,2,46,,,severe,Ancestral,Omicron,Omicron,26&Ancestral&Omicron,,46,0.684444444444444,0.235260770975057,0.774272725372312,1.08926984915056,0.206169891343003
0,26,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529.2,severe,hosp,,0.734,0.002,0.929,2,46,,,severe,Ancestral,Omicron,Omicron,26&Ancestral&Omicron,,46,0.704444444444444,0.291950113378685,0.868552645655525,1.40224135953093,0.185074112680477
0,28,Cerqueira-Silva T,135,Brazil,1,mixed variant,B.1.1.529,severe,hosp&death,,0.845,0.731,0.911,1,,12,23,severe,Ancestral,Omicron,Omicron,28&Ancestral&Omicron,17.5,17.5,0.827777777777778,0.0566893424036281,1.56995910146031,0.397647692980635,0.42
0,28,Cerqueira-Silva T,135,Brazil,1,mixed variant,B.1.1.529,severe,hosp&death,,0.895,0.86,0.922,1,,24,51,severe,Ancestral,Omicron,Omicron,28&Ancestral&Omicron,37.5,37.5,0.883333333333333,0.0195263290501386,2.02438176449681,0.189473812885441,0.715631911151301
0,28,Cerqueira-Silva T,135,Brazil,1,mixed variant,B.1.1.529,severe,hosp&death,,0.803,0.744,0.848,1,,52,64,severe,Ancestral,Omicron,Omicron,28&Ancestral&Omicron,58,58,0.781111111111111,0.0327538422776518,1.27215316307268,0.191569215652266,0.552546552163428
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,severe,hosp,,0.89,0.86,0.91,1,,13,24,severe,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,18.5,18.5,0.877777777777778,0.0157470395565634,1.97155257966865,0.146779079871304,0.796893970362431
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,severe,hosp,,0.85,0.09,0.78,1,,25,36,severe,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,30.5,30.5,0.833333333333333,0.217309145880574,1.6094379124341,1.56462585034013,0.214516645751205
0,31,Nordstrom P,93,Sweden,1,mixed variant,mixed variant,severe,hosp,,0.78,0.085,0.66,1,,37,48,severe,Ancestral,Ancestral,Non_Omicron,31&Ancestral&Ancestral,42.5,42.5,0.755555555555556,0.181090954900479,1.12846525181779,0.980505838699117,0.234991211676559
