study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.552,0.235,0.737,0,0,,0,4,infection,2,2,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.452
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.161,-0.208,0.417,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.061
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Pfizer & BioNTech,Omicron,infection,infection,,12,85,0.098,-0.1,0.261,0,0,,9,12,infection,10.5,10.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,-0.002
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.367,-0.699,0.764,0,0,,0,4,infection,2,2,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.267
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.3,-0.413,0.654,0,0,,5,8,infection,6.5,6.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,0.2
523,Hansen C,0,78,78,Denmark,Denmark Omicron,"",Moderna,Omicron,infection,infection,,12,85,0.042,-0.308,0.298,0,0,,9,12,infection,10.5,10.5,Omicron,mRNA,523&Denmark Omicron&Omicron&infection&12&85,-0.058
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.44,0.351,0.516,0,0,,2,12,infection,7,7,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.34
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.235,0.164,0.3,0,0,,13,25,infection,19,19,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.135
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.138,0.102,0.173,0,0,,26,38,infection,32,32,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,0.038
530,Tseng H,0,102,102,United States,US Omicron,"",Moderna,Omicron,infection,infection,,18,75,0.059,0.004,0.11,0,0,,39,50,infection,44.5,44.5,Omicron,mRNA,530&US Omicron&Omicron&infection&18&75,-0.041
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.68,0.63,0.72,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.58
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.57,0.55,0.6,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.47
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.5,0.48,0.52,0,0,,4,5,infection,4.5,4.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.4
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.48,0.47,0.5,0,0,,6,7,infection,6.5,6.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.38
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.34,0.31,0.36,0,0,,8,9,infection,8.5,8.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.24
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.2,0.16,0.23,0,0,,10,11,infection,10.5,10.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.1
540,Dorabawila V,0,102,102,United States,US Omicron 5-11,"",Pfizer & BioNTech,Omicron,infection,infection,,5,11,0.2,0.06,0.16,0,0,,12,13,infection,12.5,12.5,Omicron,mRNA,540&US Omicron 5-11&Omicron&infection&5&11,0.1
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.85,0.84,0.86,0,0,,0,1,infection,0.5,0.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.75
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.82,0.81,0.83,0,0,,2,3,infection,2.5,2.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.72
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.66,0.64,0.67,0,0,,4,5,infection,4.5,4.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.56
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.57,0.56,0.58,0,0,,6,7,infection,6.5,6.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.47
540,Dorabawila V,0,102,102,United States,US Omicron 12-17,"",Pfizer & BioNTech,Omicron,infection,infection,,12,17,0.55,0.54,0.56,0,0,,8,9,infection,8.5,8.5,Omicron,mRNA,540&US Omicron 12-17&Omicron&infection&12&17,0.45
