exclude,study_id,author,location_id,location_name,piv,prim_inf_var,variant,symptom_severity,severity,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,pinf,average_time_since_infection,start_interval,end_interval,sev_severity,prim_variant_name,variant_name,group_analysis,study_id2,mid_point1,mid_point,or,e_mean,se,mean_logit,sd_logit,or_lower,or_upper,or_log,se_log,insesqua
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.64,0.547,0.714,1,,12,32,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,22,22,0.36,0.54,0.0426020408163265,0.160342650075179,0.171505800387788,0.286,0.453,-1.02165124753198,0.117321508842648,0.484489978144188
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.472,0.375,0.554,1,,33,56,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,44.5,44.5,0.528,0.372,0.0456632653061225,-0.523646312195052,0.19546291908997,0.446,0.625,-0.638658995275876,0.0860797698255963,0.467968389325413
0,5,Altarawneh H,151,Qatar,1,mixed variant,B.1.1.529,infection,infection,,0.596,0.507,0.67,1,,57,70,infection,Ancestral,Omicron,Omicron,5&Ancestral&Omicron,63.5,63.5,0.404,0.496,0.0415816326530612,-0.0160003413464412,0.166337176191521,0.33,0.493,-0.906340401020987,0.102402173362797,0.490398610872841
0,7,Smid M,47,Czechia,1,mixed variant,B.1.1.529,infection,infection,,0.68,0.68,0.69,1,,2,24,infection,Ancestral,Omicron,Omicron,7&Ancestral&Omicron,13,13,0.32,0.58,0.00255102040816324,0.322773392263051,0.0104721691632317,0.31,0.32,-1.13943428318837,0.00809915773331118,1.97989898732234
0,29,Carazo S,101,Canada,1,mixed variant,B.1.1.529,infection,infection,,0.66,0.57,0.73,1,,12,23,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,17.5,17.5,0.34,0.56,0.0408163265306123,0.241162056816888,0.165650675854758,0.27,0.43,-1.07880966137193,0.118715114716641,0.494974746830583
0,29,Carazo S,101,Canada,1,mixed variant,B.1.1.529,infection,infection,,0.49,0.32,0.61,1,,24,35,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,29.5,29.5,0.51,0.39,0.0739795918367347,-0.447312218043665,0.310969280524316,0.39,0.68,-0.673344553263766,0.141822974246546,0.367658012007223
0,29,Carazo S,101,Canada,1,Ancestral,B.1.1.529,infection,infection,,0.35,0.21,0.47,1,,36,47,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,41.5,41.5,0.65,0.25,0.0663265306122449,-1.09861228866811,0.353741496598639,0.53,0.79,-0.430782916092454,0.101825494621148,0.38829013735766
0,29,Carazo S,101,Canada,1,B.1.617.2,B.1.1.529,infection,infection,,0.29,0.17,0.38,1,,48,75,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,61.5,61.5,0.71,0.19,0.0535714285714286,-1.450010175506,0.348092453355611,0.62,0.83,-0.342490308946776,0.0744148527427312,0.432049379893857
0,29,Carazo S,101,Canada,1,B.1.1.7,B.1.1.529,infection,infection,,0.27,0.08,0.42,1,,76,96,infection,Ancestral,Omicron,Omicron,29&Ancestral&Omicron,86,86,0.73,0.17,0.086734693877551,-1.58562726374038,0.614703712810425,0.58,0.92,-0.3147107448397,0.117690195536383,0.339549875050866
0,41,Chin E,102,United States,1,mixed variant,B.1.1.529,infection,infection,,0.257,0.234,0.316,2,59,,,infection,Ancestral,Omicron,Omicron,41&Ancestral&Omicron,,59,0.743,0.157,0.0209183673469388,-1.68072115265355,0.158052204720318,0.684,0.766,-0.297059234264378,0.0288837377852145,0.691410717654712
0,41,Chin E,102,United States,1,B.1.617.2,B.1.1.529,infection,infection,,0.608,0.584,0.668,2,21,,,infection,Ancestral,Omicron,Omicron,41&Ancestral&Omicron,,21,0.392,0.508,0.0214285714285715,0.0320027310861737,0.0857362341902385,0.332,0.416,-0.936493439191674,0.0575383396287691,0.683130051063973
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.42,-0.47,0.77,1,,12,23,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,17.5,17.5,0.58,0.32,0.316326530612245,-0.75377180237638,1.45370648259304,0.23,1.47,-0.544727175441672,0.473198563992241,0.177800177800267
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.39,0,0.63,1,,24,51,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,37.5,37.5,0.61,0.29,0.160714285714286,-0.895384047054841,0.780545341011587,0.37,1,-0.49429632181478,0.253635784016293,0.249443825784929
0,46,Carazo S,101,Canada,1,mixed variant,B.1.1.529.2,infection,infection,,0.42,0.17,0.6,1,,52,64,infection,Ancestral,Omicron,Omicron,46&Ancestral&Omicron,58,58,0.58,0.32,0.10969387755102,-0.75377180237638,0.504107893157263,0.4,0.83,-0.544727175441672,0.186214580021087,0.301931764969628
