nid,exclude,study_id,author,text_description,first_dose_only,source,location_id,location_id2,location_name,location_name2,interval between doses,vac_before_booster,vaccine_developer,vaccine_candidate,vaccine_type,variant,variant_b1351,symptom_severity,symptom_severity_description,severity,IHME_symptom_classification,severe_vs_all,severe,moderate,mild,asymptomatic,sex_id,age_start,age_end,age_mean,over_65,is_main_analysis,is_sub_analysis,sample_size,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,Period reported in the study,events_vaccine,events_control,ss_vaccine,ss_control,hiv_flag,obesity_flag,comorbidity_flag,ethnicity_flag,race_flag,dose_flag,high_risk_flag,infectious_flag,notes,extractor_id
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,infection,Infection,infection,Infection,,0,0,0,0,3,16,60,,0,,,,0.16,0,0.45,0,0,,19,22,Jan-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,infection,Infection,infection,Infection,,0,0,0,0,3,16,60,,0,,,,0.44,0.16,0.63,0,0,,15,18,Feb-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,infection,Infection,infection,Infection,,0,0,0,0,3,16,60,,0,,,,0.67,0.48,0.8,0,0,,10,14,Mar-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,infection,Infection,infection,Infection,,0,0,0,0,3,16,60,,0,,,,0.75,0.59,0.86,0,0,,2,9,April-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,"Mild, Moderate + severe","Mild, Moderate + Severe",symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,16,60,,0,,,,0.16,0,0.45,0,0,,19,22,Jan-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,"Mild, Moderate + severe","Mild, Moderate + Severe",symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,16,60,,0,,,,0.44,0.12,0.63,0,0,,15,18,Feb-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,"Mild, Moderate + severe","Mild, Moderate + Severe",symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,16,60,,0,,,,0.69,0.5,0.8,0,0,,10,14,Mar-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,"Mild, Moderate + severe","Mild, Moderate + Severe",symptomatic,"Mild, Moderate + Severe",,1,1,1,0,3,16,60,,0,,,,0.79,0.62,0.88,0,0,,2,9,April-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Hosp,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,hosp,Severe,,1,0,0,0,3,16,60,,0,,,,0.82,0.66,0.9,0,0,,19,22,Jan-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Hosp,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,hosp,Severe,,1,0,0,0,3,16,60,,0,,,,0.91,0.81,0.94,0,0,,15,18,Feb-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Hosp,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,hosp,Severe,,1,0,0,0,3,16,60,,0,,,,0.89,0.77,0.94,0,0,,10,14,Mar-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Hosp,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,hosp,Severe,,1,0,0,0,3,16,60,,0,,,,0.83,0.47,0.94,0,0,,2,9,April-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Death,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,death,Severe,,1,0,0,0,3,16,60,,0,,,,0.86,0.71,0.94,0,0,,19,22,Jan-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Death,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,death,Severe,,1,0,0,0,3,16,60,,0,,,,0.91,0.79,0.96,0,0,,15,18,Feb-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Death,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,death,Severe,,1,0,0,0,3,16,60,,0,,,,0.94,0.79,0.98,0,0,,10,14,Mar-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,0,500,MoH Israel,MoH Israel,0,https://www.gov.il/BlobFolder/reports/vaccine-efficacy-safety-follow-up-committee/he/files_publications_corona_two-dose-vaccination-data.pdf,85,85,Israel,Israel Delta Death,0,,Pfizer & BioNTech,BNT162b2,mRNA,B.1.617.2,,severe,Severe,death,Severe,,1,0,0,0,3,16,60,,0,,,,0.84,0.24,0.96,0,0,,2,9,April-Jun,,,,,0,0,0,0,0,0,0,1,Age end: 60+. VE results for delta variant based on last slide (8),cstein87
,1,501,Thomas SJ,medrxiv - multinational 4 months follow-up-  Pfizer - non-variant,0,https://www.medrxiv.org/content/10.1101/2021.07.28.21261159v1,"102, 97, 81, 135, 155, 196",102,"United States, Argentina, Brazil, Germany, South Africa and Turkey","US, Argentina, Brazil, Germany, South Africa and Turkey",,,Pfizer & BioNTech,BNT162b2,mRNA,non.variant,,"Mild, Moderate + severe","Laboratory-confirmed COVID-19. Symptomatic period: fever, new or increased cough, new or increased shortness of breath, chills, new or increased muscle pain, new loss of taste or smell, sore throat, diarrhea, and/or vomiting.  Confirmed severe COVID-19.",symptomatic,,,1,1,1,0,3,16,,51,0,,,24472,0.962,0.933,0.981,0,0,,1,8,>=7 days after dose 2 <2 months after dose 2,,,,,0,0,0,0,0,1,0,0,"Results from Table of Figure 2.  Vaccination period: July 27, 2020 and October 29, 2020. CI for VE was derived based on the Clopper and Pearson method adjusted for surveillance time.",cstein87
