study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,study_id2,e_mean
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,Infection,infection,,16,60,0.16,0,0.45,0,0,,19,22,infection,20.5,20.5,500&Israel Delta&B.1.617.2&infection&16&60,0.06
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,Infection,infection,,16,60,0.44,0.16,0.63,0,0,,15,18,infection,16.5,16.5,500&Israel Delta&B.1.617.2&infection&16&60,0.34
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,Infection,infection,,16,60,0.67,0.48,0.8,0,0,,10,14,infection,12,12,500&Israel Delta&B.1.617.2&infection&16&60,0.57
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,Infection,infection,,16,60,0.75,0.59,0.86,0,0,,2,9,infection,5.5,5.5,500&Israel Delta&B.1.617.2&infection&16&60,0.65
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,"Mild, Moderate + Severe",symptomatic,,16,60,0.16,0,0.45,0,0,,19,22,symptomatic,20.5,20.5,500&Israel Delta&B.1.617.2&symptomatic&16&60,0.06
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,"Mild, Moderate + Severe",symptomatic,,16,60,0.44,0.12,0.63,0,0,,15,18,symptomatic,16.5,16.5,500&Israel Delta&B.1.617.2&symptomatic&16&60,0.34
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,"Mild, Moderate + Severe",symptomatic,,16,60,0.69,0.5,0.8,0,0,,10,14,symptomatic,12,12,500&Israel Delta&B.1.617.2&symptomatic&16&60,0.59
500,MoH Israel,0,85,85,Israel,Israel Delta,"",Pfizer & BioNTech,B.1.617.2,"Mild, Moderate + Severe",symptomatic,,16,60,0.79,0.62,0.88,0,0,,2,9,symptomatic,5.5,5.5,500&Israel Delta&B.1.617.2&symptomatic&16&60,0.69
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,16,60,0.82,0.66,0.9,0,0,,19,22,severe,20.5,20.5,500&Israel Delta Hosp&B.1.617.2&hosp&16&60,0.72
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,16,60,0.91,0.81,0.94,0,0,,15,18,severe,16.5,16.5,500&Israel Delta Hosp&B.1.617.2&hosp&16&60,0.81
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,16,60,0.89,0.77,0.94,0,0,,10,14,severe,12,12,500&Israel Delta Hosp&B.1.617.2&hosp&16&60,0.79
500,MoH Israel,0,85,85,Israel,Israel Delta Hosp,"",Pfizer & BioNTech,B.1.617.2,Severe,hosp,,16,60,0.83,0.47,0.94,0,0,,2,9,severe,5.5,5.5,500&Israel Delta Hosp&B.1.617.2&hosp&16&60,0.73
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,B.1.617.2,Severe,death,,16,60,0.86,0.71,0.94,0,0,,19,22,severe,20.5,20.5,500&Israel Delta Death&B.1.617.2&death&16&60,0.76
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,B.1.617.2,Severe,death,,16,60,0.91,0.79,0.96,0,0,,15,18,severe,16.5,16.5,500&Israel Delta Death&B.1.617.2&death&16&60,0.81
500,MoH Israel,0,85,85,Israel,Israel Delta Death,"",Pfizer & BioNTech,B.1.617.2,Severe,death,,16,60,0.94,0.79,0.98,0,0,,10,14,severe,12,12,500&Israel Delta Death&B.1.617.2&death&16&60,0.84
