"exclude","study_id","author","location_id","location_name","piv","prim_inf_var","variant","symptom_severity","severity","sample_size","efficacy_mean","efficacy_lower","efficacy_upper","pinf","average_time_since_infection","start_interval","end_interval","sev_severity","prim_variant_name","variant_name","study_id2","mid_point1","mid_point","se","mean_logit","sd_logit","insesqua"
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.99,0.98,0.99,1,NA,0,8,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",4,4,0.00255102040816327,4.59511985013459,0.257678829107401,1.97989898732233
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.97,0.965,0.975,1,NA,9,16,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",12.5,12.5,0.00255102040816327,3.47609868983527,0.0876639315520022,1.97989898732233
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.91,0.905,0.915,1,NA,17,24,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",20.5,20.5,0.00255102040816327,2.31363492918063,0.0311479903316638,1.97989898732233
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.92,0.915,0.925,1,NA,25,32,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",28.5,28.5,0.00255102040816327,2.44234703536921,0.0346606033717835,1.97989898732233
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.9,0.895,0.905,1,NA,33,40,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",36.5,36.5,0.00255102040816327,2.19722457733622,0.0283446712018141,1.97989898732233
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.84,0.835,0.845,1,NA,41,48,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",44.5,44.5,0.00255102040816327,1.65822807660353,0.0189808066083576,1.97989898732233
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.79,0.78,0.8,1,NA,49,56,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",52.5,52.5,0.00510204081632654,1.3249254147436,0.0307537119730352,1.4
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.71,0.685,0.72,1,NA,57,64,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",60.5,60.5,0.00892857142857141,0.895384047054841,0.0433636300561992,1.05830052442584
0,1,"Berec L",47,"Czechia",1,"mixed variant","all variant","infection","infection",NA,0.71,0.65,0.78,1,NA,65,72,"infection","Ancestral","Ancestral","1&Ancestral&Ancestral",68.5,68.5,0.0331632653061225,0.895384047054841,0.161064911637312,0.549125178386915
0,3,"Hansen C",78,"Denmark",1,"Ancestral","Ancestral","infection","infection",NA,0.793,0.744,0.833,1,NA,12,24,"infection","Ancestral","Ancestral","3&Ancestral&Ancestral",18,18,0.0227040816326531,1.34310442836948,0.138312173746447,0.663663648395968
0,3,"Hansen C",78,"Denmark",1,"Ancestral","Ancestral","infection","infection",NA,0.777,0.709,0.829,1,NA,25,32,"infection","Ancestral","Ancestral","3&Ancestral&Ancestral",28.5,28.5,0.0306122448979592,1.24826857890753,0.176672639379695,0.571547606649408
0,5,"Altarawneh H ",151,"Qatar",1,"Ancestral","B.1.1.7","infection","infection",NA,0.894,0.226,0.985,1,NA,12,32,"infection","Ancestral","Alpha","5&Ancestral&Alpha",22,22,0.193622448979592,2.13226668106145,2.04320679772479,0.227259551660248
0,5,"Altarawneh H ",151,"Qatar",1,"Ancestral","B.1.1.7","infection","infection",NA,0.91,0.345,0.988,1,NA,33,56,"infection","Ancestral","Alpha","5&Ancestral&Alpha",44.5,44.5,0.164030612244898,2.31363492918063,2.00281577832598,0.246909356183748
0,5,"Altarawneh H ",151,"Qatar",1,"mixed variant","B.1.617.2","infection","infection",NA,0.934,0.876,0.965,1,NA,12,32,"infection","Ancestral","Delta","5&Ancestral&Delta",22,22,0.0227040816326531,2.64982169620242,0.368309675437238,0.663663648395968
0,5,"Altarawneh H ",151,"Qatar",1,"mixed variant","B.1.617.2","infection","infection",NA,0.911,0.833,0.953,1,NA,33,56,"infection","Ancestral","Delta","5&Ancestral&Delta",44.5,44.5,0.0306122448979592,2.32590652752782,0.377560711133082,0.571547606649408
0,5,"Altarawneh H ",151,"Qatar",1,"mixed variant","B.1.617.2","infection","infection",NA,0.871,0.594,0.959,1,NA,57,70,"infection","Ancestral","Delta","5&Ancestral&Delta",63.5,63.5,0.0931122448979592,1.90982957249083,0.828703040236734,0.327715212149166
0,7,"Smid M",47,"Czechia",1,"mixed variant","B.1.617.2","infection","infection",NA,0.95,0.94,0.96,1,NA,2,24,"infection","Ancestral","Delta","7&Ancestral&Delta",13,13,0.00510204081632654,2.94443897916644,0.107411385606874,1.4
0,7,"Smid M",47,"Czechia",1,"mixed variant","B.1.617.2","infection","infection",NA,0.83,0.82,0.84,1,NA,25,52,"infection","Ancestral","Delta","7&Ancestral&Delta",38.5,38.5,0.00510204081632654,1.58562726374038,0.036159041930025,1.4
0,8,"Abu-Raddad L",151,"Qatar",1,"Ancestral","Ancestral","infection","infection",NA,0.927,0.913,0.939,2,17,NA,NA,"infection","Ancestral","Ancestral","8&Ancestral&Ancestral",NA,17,0.00663265306122447,2.54149412441746,0.0980132266587529,1.22788122702984
0,9,"Hall V",95,"United Kingdom",1,"Ancestral","B.1.1.7","infection","infection",NA,0.84,0.81,0.87,2,29,NA,NA,"infection","Ancestral","Alpha","9&Ancestral&Alpha",NA,29,0.0153061224489796,1.65822807660353,0.113884839650146,0.808290376865476
0,10,"Hall V",102,"United Kingdom",1,"all variant","all variant","infection","infection",NA,0.86,0.81,0.89,1,NA,0,51,"infection","Ancestral","Ancestral","10&Ancestral&Ancestral",25.5,25.5,0.0204081632653061,1.81528996663825,0.169503017153705,0.7
0,10,"Hall V",102,"United Kingdom",1,"all variant","all variant","infection","infection",NA,0.69,0.38,0.84,1,NA,52,104,"infection","Ancestral","Ancestral","10&Ancestral&Ancestral",78,78,0.11734693877551,0.800119300112113,0.54860653938995,0.291920179679905
0,11,"Pilz S",75,"Austria",1,"Ancestral","Ancestral","infection","infection",NA,0.91,0.87,0.93,2,30,NA,NA,"infection","Ancestral","Ancestral","11&Ancestral&Ancestral",NA,30,0.0153061224489796,2.31363492918063,0.186887941989983,0.808290376865476
0,12,"Rennert L",102,"United States",1,"Ancestral","mixed variant","infection","infection",NA,0.84,0.78,0.88,2,18,NA,NA,"infection","Ancestral","Ancestral","12&Ancestral&Ancestral",NA,18,0.0255102040816326,1.65822807660353,0.189808066083576,0.626099033699941
0,13,"Sheehan M",102,"United States",1,"Ancestral","Ancestral","infection","infection",NA,0.818,0.766,0.858,2,20,NA,NA,"infection","Ancestral","Ancestral","13&Ancestral&Ancestral",NA,20,0.023469387755102,1.50285564952595,0.157643863047785,0.65275336576822
0,14,"Vitale J",86,"Italy",1,"Ancestral","Ancestral","infection","infection",NA,0.94,0.92,0.95,2,34,NA,NA,"infection","Ancestral","Ancestral","14&Ancestral&Ancestral",NA,34,0.00765306122448977,2.75153531304195,0.135692574902301,1.14309521329882
0,19,"Breathnach A",95,"United Kingdom",1,"Ancestral","Ancestral","infection","infection",NA,0.94,0.88,0.97,2,32,NA,NA,"infection","Ancestral","Ancestral","19&Ancestral&Ancestral",NA,32,0.0229591836734694,2.75153531304195,0.407077724706904,0.659966329107444
