subtype,mean_hb_shift,sex_id
cirrhosis,18,2
cirrhosis,18,1
ckd3,16.34,1
ckd3,11.84,2
ckd4,27.82,1
ckd4,21.83,2
ckd5,37.62,1
ckd5,32.43,2
digest_crohns,23,2
digest_crohns,23,1
digest_gastrititis,15.11,2
digest_gastrititis,15.11,1
digest_pud,15.11,2
digest_pud,15.11,1
digest_uc,20,2
digest_uc,20,1
endo_other,15,2
endo_other,15,1
esrd_dialysis,30.7,1
esrd_dialysis,30.7,2
gyne_fibroids,13.7,2
gyne_fibroids,0,1
gyne_menstrual,3,2
gyne_menstrual,0,1
hemog_g6pd,0.074,2
hemog_g6pd,0.152,1
hemog_g6pd_hemi,0.016,2
hemog_g6pd_hemi,0,1
hemog_other,3,2
hemog_other,3,1
hemog_sickle_hscbt,54,2
hemog_sickle_hscbt,54,1
hemog_sickle_hscd,36,2
hemog_sickle_hscd,36,1
hemog_sickle_scbt,52,2
hemog_sickle_scbt,52,1
hemog_sickle_sct,5,2
hemog_sickle_sct,5,1
hemog_thalass_btm,70,2
hemog_thalass_btm,70,1
hemog_thalass_btt,19,2
hemog_thalass_btt,19,1
hemog_thalass_ett,6,2
hemog_thalass_ett,6,1
hemog_thalass_hebt,64,2
hemog_thalass_hebt,64,1
hemog_thalass_hhd,56,2
hemog_thalass_hhd,56,1
hiv,7,2
hiv,9.7,1
infectious,3,2
infectious,3,1
malaria_clinical,20,2
malaria_clinical,20,1
malaria_pfpr,8.37,2
malaria_pfpr,8.37,1
malaria_pvpr,11.3,2
malaria_pvpr,11.3,1
maternal_hem,6.8,2
maternal_hem,0,1
ntd_nema_hook,2.08,2
ntd_nema_hook,2.08,1
ntd_other,3,2
ntd_other,3,1
ntd_schisto,2.8,2
ntd_schisto,2.8,1
nutrition_iron,4.01,2
nutrition_iron,4.01,1
nutrition_vitamina,3.6,2
nutrition_vitamina,3.6,1
thyroid_hyper,4.2,2
thyroid_hyper,4.2,1
thyroid_hypo,2.8,2
thyroid_hypo,2.8,1
