location_id,sex_id,year_id,outcome
33,1,1990,epilepsy
33,1,1990,long_modsev
33,1,1995,epilepsy
33,1,1995,long_modsev
33,1,2000,epilepsy
33,1,2000,long_modsev
33,1,2005,epilepsy
33,1,2005,long_modsev
33,1,2010,epilepsy
33,1,2010,long_modsev
33,1,2015,epilepsy
33,1,2015,long_modsev
33,1,2017,epilepsy
33,1,2017,long_modsev
33,1,2019,epilepsy
33,1,2019,long_modsev
33,2,1990,epilepsy
33,2,1990,long_modsev
33,2,1995,epilepsy
33,2,1995,long_modsev
33,2,2000,epilepsy
33,2,2000,long_modsev
33,2,2005,epilepsy
33,2,2005,long_modsev
33,2,2010,epilepsy
33,2,2010,long_modsev
33,2,2015,epilepsy
33,2,2015,long_modsev
33,2,2017,epilepsy
33,2,2017,long_modsev
33,2,2019,epilepsy
33,2,2019,long_modsev
34,1,1990,epilepsy
34,1,1990,long_modsev
34,1,1995,epilepsy
34,1,1995,long_modsev
34,1,2000,epilepsy
34,1,2000,long_modsev
34,1,2005,epilepsy
34,1,2005,long_modsev
34,1,2010,epilepsy
34,1,2010,long_modsev
34,1,2015,epilepsy
34,1,2015,long_modsev
34,1,2017,epilepsy
34,1,2017,long_modsev
34,1,2019,epilepsy
34,1,2019,long_modsev
34,2,1990,epilepsy
34,2,1990,long_modsev
34,2,1995,epilepsy
34,2,1995,long_modsev
34,2,2000,epilepsy
34,2,2000,long_modsev
34,2,2005,epilepsy
34,2,2005,long_modsev
34,2,2010,epilepsy
34,2,2010,long_modsev
34,2,2015,epilepsy
34,2,2015,long_modsev
34,2,2017,epilepsy
34,2,2017,long_modsev
34,2,2019,epilepsy
34,2,2019,long_modsev
35,1,1990,epilepsy
35,1,1990,long_modsev
35,1,1995,epilepsy
35,1,1995,long_modsev
35,1,2000,epilepsy
35,1,2000,long_modsev
35,1,2005,epilepsy
35,1,2005,long_modsev
35,1,2010,epilepsy
35,1,2010,long_modsev
35,1,2015,epilepsy
35,1,2015,long_modsev
35,1,2017,epilepsy
35,1,2017,long_modsev
35,1,2019,epilepsy
35,1,2019,long_modsev
35,2,1990,epilepsy
35,2,1990,long_modsev
35,2,1995,epilepsy
35,2,1995,long_modsev
35,2,2000,epilepsy
35,2,2000,long_modsev
35,2,2005,epilepsy
35,2,2005,long_modsev
35,2,2010,epilepsy
35,2,2010,long_modsev
35,2,2015,epilepsy
35,2,2015,long_modsev
35,2,2017,epilepsy
35,2,2017,long_modsev
35,2,2019,epilepsy
35,2,2019,long_modsev
36,1,1990,epilepsy
36,1,1990,long_modsev
36,1,1995,epilepsy
36,1,1995,long_modsev
36,1,2000,epilepsy
36,1,2000,long_modsev
36,1,2005,epilepsy
36,1,2005,long_modsev
36,1,2010,epilepsy
36,1,2010,long_modsev
36,1,2015,epilepsy
36,1,2015,long_modsev
36,1,2017,epilepsy
36,1,2017,long_modsev
36,1,2019,epilepsy
36,1,2019,long_modsev
36,2,1990,epilepsy
36,2,1990,long_modsev
36,2,1995,epilepsy
36,2,1995,long_modsev
36,2,2000,epilepsy
36,2,2000,long_modsev
36,2,2005,epilepsy
36,2,2005,long_modsev
36,2,2010,epilepsy
36,2,2010,long_modsev
36,2,2015,epilepsy
36,2,2015,long_modsev
36,2,2017,epilepsy
36,2,2017,long_modsev
36,2,2019,epilepsy
36,2,2019,long_modsev
37,1,1990,epilepsy
37,1,1990,long_modsev
37,1,1995,epilepsy
37,1,1995,long_modsev
37,1,2000,epilepsy
37,1,2000,long_modsev
37,1,2005,epilepsy
37,1,2005,long_modsev
37,1,2010,epilepsy
37,1,2010,long_modsev
37,1,2015,epilepsy
37,1,2015,long_modsev
37,1,2017,epilepsy
37,1,2017,long_modsev
37,1,2019,epilepsy
37,1,2019,long_modsev
37,2,1990,epilepsy
37,2,1990,long_modsev
37,2,1995,epilepsy
37,2,1995,long_modsev
37,2,2000,epilepsy
37,2,2000,long_modsev
37,2,2005,epilepsy
37,2,2005,long_modsev
37,2,2010,epilepsy
37,2,2010,long_modsev
37,2,2015,epilepsy
37,2,2015,long_modsev
37,2,2017,epilepsy
37,2,2017,long_modsev
37,2,2019,epilepsy
37,2,2019,long_modsev
38,1,1990,epilepsy
38,1,1990,long_modsev
38,1,1995,epilepsy
38,1,1995,long_modsev
38,1,2000,epilepsy
38,1,2000,long_modsev
38,1,2005,epilepsy
38,1,2005,long_modsev
38,1,2010,epilepsy
38,1,2010,long_modsev
38,1,2015,epilepsy
38,1,2015,long_modsev
38,1,2017,epilepsy
38,1,2017,long_modsev
38,1,2019,epilepsy
38,1,2019,long_modsev
38,2,1990,epilepsy
38,2,1990,long_modsev
38,2,1995,epilepsy
38,2,1995,long_modsev
38,2,2000,epilepsy
38,2,2000,long_modsev
38,2,2005,epilepsy
38,2,2005,long_modsev
38,2,2010,epilepsy
38,2,2010,long_modsev
38,2,2015,epilepsy
38,2,2015,long_modsev
38,2,2017,epilepsy
38,2,2017,long_modsev
38,2,2019,epilepsy
38,2,2019,long_modsev
39,1,1990,epilepsy
39,1,1990,long_modsev
39,1,1995,epilepsy
39,1,1995,long_modsev
39,1,2000,epilepsy
39,1,2000,long_modsev
39,1,2005,epilepsy
39,1,2005,long_modsev
39,1,2010,epilepsy
39,1,2010,long_modsev
39,1,2015,epilepsy
39,1,2015,long_modsev
39,1,2017,epilepsy
39,1,2017,long_modsev
39,1,2019,epilepsy
39,1,2019,long_modsev
39,2,1990,epilepsy
39,2,1990,long_modsev
39,2,1995,epilepsy
39,2,1995,long_modsev
39,2,2000,epilepsy
39,2,2000,long_modsev
39,2,2005,epilepsy
39,2,2005,long_modsev
39,2,2010,epilepsy
39,2,2010,long_modsev
39,2,2015,epilepsy
39,2,2015,long_modsev
39,2,2017,epilepsy
39,2,2017,long_modsev
39,2,2019,epilepsy
39,2,2019,long_modsev
40,1,1990,epilepsy
40,1,1990,long_modsev
40,1,1995,epilepsy
40,1,1995,long_modsev
40,1,2000,epilepsy
40,1,2000,long_modsev
40,1,2005,epilepsy
40,1,2005,long_modsev
40,1,2010,epilepsy
40,1,2010,long_modsev
40,1,2015,epilepsy
40,1,2015,long_modsev
40,1,2017,epilepsy
40,1,2017,long_modsev
40,1,2019,epilepsy
40,1,2019,long_modsev
40,2,1990,epilepsy
40,2,1990,long_modsev
40,2,1995,epilepsy
40,2,1995,long_modsev
40,2,2000,epilepsy
40,2,2000,long_modsev
40,2,2005,epilepsy
40,2,2005,long_modsev
40,2,2010,epilepsy
40,2,2010,long_modsev
40,2,2015,epilepsy
40,2,2015,long_modsev
40,2,2017,epilepsy
40,2,2017,long_modsev
40,2,2019,epilepsy
40,2,2019,long_modsev
41,1,1990,epilepsy
41,1,1990,long_modsev
41,1,1995,epilepsy
41,1,1995,long_modsev
41,1,2000,epilepsy
41,1,2000,long_modsev
41,1,2005,epilepsy
41,1,2005,long_modsev
41,1,2010,epilepsy
41,1,2010,long_modsev
41,1,2015,epilepsy
41,1,2015,long_modsev
41,1,2017,epilepsy
41,1,2017,long_modsev
41,1,2019,epilepsy
41,1,2019,long_modsev
41,2,1990,epilepsy
41,2,1990,long_modsev
41,2,1995,epilepsy
41,2,1995,long_modsev
41,2,2000,epilepsy
41,2,2000,long_modsev
41,2,2005,epilepsy
41,2,2005,long_modsev
41,2,2010,epilepsy
41,2,2010,long_modsev
41,2,2015,epilepsy
41,2,2015,long_modsev
41,2,2017,epilepsy
41,2,2017,long_modsev
41,2,2019,epilepsy
41,2,2019,long_modsev
43,1,1990,epilepsy
43,1,1990,long_modsev
43,1,1995,epilepsy
43,1,1995,long_modsev
43,1,2000,epilepsy
43,1,2000,long_modsev
43,1,2005,epilepsy
43,1,2005,long_modsev
43,1,2010,epilepsy
43,1,2010,long_modsev
43,1,2015,epilepsy
43,1,2015,long_modsev
43,1,2017,epilepsy
43,1,2017,long_modsev
43,1,2019,epilepsy
43,1,2019,long_modsev
43,2,1990,epilepsy
43,2,1990,long_modsev
43,2,1995,epilepsy
43,2,1995,long_modsev
43,2,2000,epilepsy
43,2,2000,long_modsev
43,2,2005,epilepsy
43,2,2005,long_modsev
43,2,2010,epilepsy
43,2,2010,long_modsev
43,2,2015,epilepsy
43,2,2015,long_modsev
43,2,2017,epilepsy
43,2,2017,long_modsev
43,2,2019,epilepsy
43,2,2019,long_modsev
44,1,1990,epilepsy
44,1,1990,long_modsev
44,1,1995,epilepsy
44,1,1995,long_modsev
44,1,2000,epilepsy
44,1,2000,long_modsev
44,1,2005,epilepsy
44,1,2005,long_modsev
44,1,2010,epilepsy
44,1,2010,long_modsev
44,1,2015,epilepsy
44,1,2015,long_modsev
44,1,2017,epilepsy
44,1,2017,long_modsev
44,1,2019,epilepsy
44,1,2019,long_modsev
44,2,1990,epilepsy
44,2,1990,long_modsev
44,2,1995,epilepsy
44,2,1995,long_modsev
44,2,2000,epilepsy
44,2,2000,long_modsev
44,2,2005,epilepsy
44,2,2005,long_modsev
44,2,2010,epilepsy
44,2,2010,long_modsev
44,2,2015,epilepsy
44,2,2015,long_modsev
44,2,2017,epilepsy
44,2,2017,long_modsev
44,2,2019,epilepsy
44,2,2019,long_modsev
45,1,1990,epilepsy
45,1,1990,long_modsev
45,1,1995,epilepsy
45,1,1995,long_modsev
45,1,2000,epilepsy
45,1,2000,long_modsev
45,1,2005,epilepsy
45,1,2005,long_modsev
45,1,2010,epilepsy
45,1,2010,long_modsev
45,1,2015,epilepsy
45,1,2015,long_modsev
45,1,2017,epilepsy
45,1,2017,long_modsev
45,1,2019,epilepsy
45,1,2019,long_modsev
45,2,1990,epilepsy
45,2,1990,long_modsev
45,2,1995,epilepsy
45,2,1995,long_modsev
45,2,2000,epilepsy
45,2,2000,long_modsev
45,2,2005,epilepsy
45,2,2005,long_modsev
45,2,2010,epilepsy
45,2,2010,long_modsev
45,2,2015,epilepsy
45,2,2015,long_modsev
45,2,2017,epilepsy
45,2,2017,long_modsev
45,2,2019,epilepsy
45,2,2019,long_modsev
46,1,1990,epilepsy
46,1,1990,long_modsev
46,1,1995,epilepsy
46,1,1995,long_modsev
46,1,2000,epilepsy
46,1,2000,long_modsev
46,1,2005,epilepsy
46,1,2005,long_modsev
46,1,2010,epilepsy
46,1,2010,long_modsev
46,1,2015,epilepsy
46,1,2015,long_modsev
46,1,2017,epilepsy
46,1,2017,long_modsev
46,1,2019,epilepsy
46,1,2019,long_modsev
46,2,1990,epilepsy
46,2,1990,long_modsev
46,2,1995,epilepsy
46,2,1995,long_modsev
46,2,2000,epilepsy
46,2,2000,long_modsev
46,2,2005,epilepsy
46,2,2005,long_modsev
46,2,2010,epilepsy
46,2,2010,long_modsev
46,2,2015,epilepsy
46,2,2015,long_modsev
46,2,2017,epilepsy
46,2,2017,long_modsev
46,2,2019,epilepsy
46,2,2019,long_modsev
47,1,1990,epilepsy
47,1,1990,long_modsev
47,1,1995,epilepsy
47,1,1995,long_modsev
47,1,2000,epilepsy
47,1,2000,long_modsev
47,1,2005,epilepsy
47,1,2005,long_modsev
47,1,2010,epilepsy
47,1,2010,long_modsev
47,1,2015,epilepsy
47,1,2015,long_modsev
47,1,2017,epilepsy
47,1,2017,long_modsev
47,1,2019,epilepsy
47,1,2019,long_modsev
47,2,1990,epilepsy
47,2,1990,long_modsev
47,2,1995,epilepsy
47,2,1995,long_modsev
47,2,2000,epilepsy
47,2,2000,long_modsev
47,2,2005,epilepsy
47,2,2005,long_modsev
