location_id,national_id,lam_intercept,lam_trend,gprior_sd_intercept,gprior_sd_trend,age_scale,gamma_age,gamma_year,nugget,lam
6,6,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
7,7,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
8,8,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
10,10,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
11,11,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
12,12,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
13,13,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
14,14,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
15,15,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
16,16,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
17,17,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
18,18,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
19,19,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
20,20,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
22,22,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
23,23,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
24,24,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
25,25,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
26,26,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
27,27,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
28,28,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
29,29,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
30,30,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
33,33,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
34,34,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
35,35,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
36,36,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
37,37,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
38,38,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
39,39,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
40,40,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
41,41,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
43,43,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
44,44,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
45,45,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
46,46,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
47,47,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
48,48,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
49,49,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
50,50,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
51,51,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
52,52,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
53,53,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
54,54,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
55,55,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
57,57,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
58,58,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
59,59,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
60,60,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
61,61,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
62,62,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
63,63,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
66,66,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
67,67,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
68,68,50.0,,inf,inf,0.1,8.0,12.0,1e-06,20.0
