modelable_entity_id_source,modelable_entity_name,modelable_entity_id_target
1504,Blindness due to trachoma,3614
1530,Cerebral paragonimiasis,3617
1582,Mild motor plus cognitive impairments due to neonatal encephalopathy due to birth asphyxia and trauma,3794
1583,Mild motor impairment due to neonatal encephalopathy due to birth asphyxia and trauma,3797
1620,Blindness due to vitamin A deficiency,3887
1972,,9970
1973,Moderate fetal alcohol syndrome,3905
1974,Severe fetal alcohol syndrome,3908
2295,Blindness due to glaucoma,3917
2300,Blindness due to cataract,3920
2305,Blindness due to macular degeneration,3923
2329,Blindness due to other vision loss,3926
2656,Neurocysticercosis with epilepsy,3605
2677,Moderate motor plus cognitive impairment with blindness due to hemolytic disease and other neonatal jaundice,3854
2678,Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications 28-32wks,3722
2679,Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications <28wks,3680
2680,Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications 32-36wks,3764
2681,Moderate motor plus cognitive impairment with blindness due to neonatal encephalopathy due to birth asphyxia and trauma,3812
2682,Moderate motor plus cognitive impairment with blindness due to neonatal tetanus,3530
2683,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,3770
2684,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,3686
2685,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,3728
2686,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal tetanus,3536
2687,Moderate motor plus cognitive impairment with blindness and epilepsy due to hemolytic disease and other neonatal jaundice,3860
2688,Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,3818
2689,Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 32-36wks,3767
2690,Moderate motor plus cognitive impairment with epilepsy due to neonatal tetanus,3533
2691,Moderate motor plus cognitive impairment with epilepsy due to hemolytic disease and other neonatal jaundice,3857
2692,Moderate motor plus cognitive impairment with epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,3815
2693,Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications <28wks,3683
2694,Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 28-32wks,3725
2696,Severe motor plus cognitive impairment with blindness due to neonatal tetanus,3551
2697,Severe motor plus cognitive impairment with blindness due to neonatal preterm birth complications 28-32wks,3743
2698,Severe motor plus cognitive impairment with blindness due to neonatal preterm birth complications 32-36wks,3785
2699,Severe motor plus cognitive impairment with blindness due to hemolytic disease and other neonatal jaundice,3875
2700,Severe motor plus cognitive impairment with blindness due to neonatal encephalopathy due to birth asphyxia and trauma,3833
2701,Severe motor plus cognitive impairment with blindness due to neonatal preterm birth complications <28wks,3701
2702,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,3749
2703,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,3707
2704,Severe motor plus cognitive impairment with blindness and epilepsy due to hemolytic disease and other neonatal jaundice,3881
2705,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,3839
2706,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,3791
2707,Severe motor plus cognitive impairment with blindness and epilepsy due to neonatal tetanus,3557
2708,Severe motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications <28wks,3704
2709,Severe motor plus cognitive impairment with epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,3836
2710,Severe motor plus cognitive impairment with epilepsy due to hemolytic disease and other neonatal jaundice,3878
2711,Severe motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 32-36wks,3788
2712,Severe motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 28-32wks,3746
2713,Severe motor plus cognitive impairment with epilepsy due to neonatal tetanus,3554
2714,Moderate motor impairment due to neonatal tetanus,3518
2716,Moderate motor impairment due to hemolytic disease and other neonatal jaundice,3842
2717,Moderate motor impairment due to neonatal preterm birth complications 28-32wks,3710
2718,Moderate motor impairment due to neonatal encephalopathy due to birth asphyxia and trauma,3800
2719,Moderate motor impairment due to neonatal preterm birth complications <28wks,3668
2720,Moderate motor impairment due to neonatal preterm birth complications 32-36wks,3752
2721,Moderate motor impairment with blindness due to neonatal preterm birth complications <28wks,3671
2722,Moderate motor impairment with blindness due to neonatal preterm birth complications 28-32wks,3713
2723,Moderate motor impairment with blindness due to neonatal preterm birth complications 32-36wks,3755
2724,Moderate motor impairment with blindness due to neonatal tetanus,3521
2725,Moderate motor impairment with blindness due to neonatal encephalopathy due to birth asphyxia and trauma,3803
2726,Moderate motor impairment with blindness due to hemolytic disease and other neonatal jaundice,3845
2727,Moderate motor impairment with blindness and epilepsy due to hemolytic disease and other neonatal jaundice,3851
2728,Moderate motor impairment with blindness and epilepsy due to neonatal encephalopathy due to birth asphyxia and trauma,3809
2729,Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,3761
2730,Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,3719
2731,Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,3677
2732,Moderate motor impairment with blindness and epilepsy due to neonatal tetanus,3527
2733,Moderate motor impairment with epilepsy due to neonatal preterm birth complications 32-36wks,3758
2734,Moderate motor impairment with epilepsy due to neonatal tetanus,3524
