study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,18,80,0.56,0.34,0.7,0,0,,20,24,severe,22,22,Omicron,525&UK Omicron hosp&Omicron&hosp&18&80,0.46,0.0918367346938775,-0.160342650075179,0.369713102632357,0.329983164553722
525,UK HSA,0,95,95,United Kingdom,UK Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,18,80,0.32,0.2,0.44,0,0,,25,29,severe,27,27,Omicron,525&UK Omicron hosp&Omicron&hosp&18&80,0.22,0.0612244897959184,-1.26566637333128,0.356786071071785,0.404145188432738
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,10,60,0.397,0.346,0.451,0,0,,12,25,severe,18.5,18.5,Omicron,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.297,0.0267857142857143,-0.861624753007965,0.128289601973813,0.611010092660779
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron hosp,"",AstraZeneca,Omicron,severe,hosp,,10,60,0.239,0.201,0.281,0,0,,26,34,severe,30,30,Omicron,533&UK 2 Omicron hosp&Omicron&hosp&10&60,0.139,0.0204081632653061,-1.82362057129704,0.170524179390755,0.7
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",AstraZeneca,Omicron,severe,death,,10,60,0.552,0.496,0.607,0,0,,12,25,severe,18.5,18.5,Omicron,533&UK 2 Omicron death&Omicron&death&10&60,0.452,0.0283163265306122,-0.192593107115784,0.114318868817471,0.594266903969213
533,Hogan A,0,95,95,United Kingdom,UK 2 Omicron death,"",AstraZeneca,Omicron,severe,death,,10,60,0.37,0.318,0.423,0,0,,26,34,severe,30,30,Omicron,533&UK 2 Omicron death&Omicron&death&10&60,0.27,0.0267857142857143,-0.994622575144062,0.135899108501848,0.611010092660779
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",AstraZeneca,Omicron,severe,hosp,,18,64,0.385,0.202,0.526,0,0,,2,24,severe,13,13,Omicron,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.285,0.0826530612244898,-0.919793362425357,0.405609428165819,0.347832796499967
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 18-64,"",AstraZeneca,Omicron,severe,hosp,,18,64,0.316,0.223,0.397,0,0,,25,32,severe,28.5,28.5,Omicron,554&UK 4 Omicron hosp 18-64&Omicron&hosp&18&64,0.216,0.0443877551020408,-1.28913061266624,0.262115900782082,0.474644452534567
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",AstraZeneca,Omicron,severe,hosp,,65,90,0.553,-0.201,0.833,0,0,,2,24,severe,13,13,Omicron,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.453,0.263775510204082,-0.188556676938947,1.06450803380301,0.194707537463416
554,Stowe J,0,95,95,United Kingdom,UK 4 Omicron hosp 65-90,"",AstraZeneca,Omicron,severe,hosp,,65,90,0.563,0.396,0.683,0,0,,25,32,severe,28.5,28.5,Omicron,554&UK 4 Omicron hosp 65-90&Omicron&hosp&65&90,0.463,0.0732142857142857,-0.14827104042263,0.294469658708229,0.369574574143918
